f,i0,i1,i2
424,3456,1001,6972
425,1343,1272,4031
426,3752,6084,6672
427,1949,217,1954
428,11,21,28
429,28,21,45
430,13,1523,1537
431,13,1537,1540
432,4310,2892,5156
433,1760,1738,4147
434,1927,2205,6034
435,209,184,1856
436,3384,971,4427
437,1529,1534,4114
438,1005,1451,1487
439,252,224,1971
440,224,252,2038
441,2309,2405,2410
442,4406,922,6344
443,6708,2618,6935
444,523,2466,6142
445,1266,34,6635
446,1879,1191,3921
447,5882,4435,6608
448,318,286,2101
449,4477,3566,6430
450,704,2780,4308
451,1947,253,4188
452,2560,553,5028
453,4527,1142,5126
454,5446,3499,6399
455,5573,5935,6085
456,109,1753,4694
457,1256,834,1972
458,3270,3251,5323
459,104,1686,1687
460,1025,5436,6809
461,248,240,278
462,551,544,2523
463,544,551,2576
464,1233,1236,1243
465,1236,1233,6545
466,1495,1414,2498
467,5771,6567,7076
468,1057,5481,5902
469,2676,2738,5072
470,851,4365,5233
471,4365,851,6294
472,4122,65,4660
473,954,956,3359
474,1201,1205,3938
475,531,585,2571
476,2520,531,2571
477,1930,1897,1931
478,208,4752,4768
479,4973,2440,4975
480,2036,1489,2054
481,1838,1777,4749
482,6567,7054,7076
483,2341,495,6141
484,495,4981,6141
485,3221,3249,4395
486,6546,3954,6874
487,5173,4339,6232
488,2446,2464,2488
489,68,1671,1679
490,2443,508,2456
491,189,4771,6032
492,5145,2833,6230
493,2844,5145,6230
494,3920,3948,5690
495,2494,4255,4997
496,2778,2741,6734
497,6223,5170,6749
498,5170,6241,6749
499,1021,3487,3511
500,950,954,3359
501,2546,582,2788
502,3000,795,6276
503,1154,1140,5944
504,98,4712,6009
505,2464,516,2488
506,3241,5313,5867
507,1180,1372,3859
508,1212,1456,4596
509,1271,1972,3093
510,513,2382,2414
511,2886,749,2887
512,197,1898,3040
513,139,1832,4767
514,4355,5232,6263
515,2192,345,2222
516,2346,433,4961
517,1050,3502,6813
518,2347,492,4244
519,3991,4003,6556
520,3122,3094,5256
521,4388,1477,6889
522,2023,4821,6064
523,5267,3165,5273
524,2608,2601,7096
525,7086,2957,7097
526,2689,2656,7080
527,2656,7063,7080
528,114,4138,4719
529,4138,114,5778
530,283,342,2058
531,342,283,2063
532,3207,909,3221
533,3,1510,4616
534,3,4616,5775
535,5065,2626,6885
536,5198,6242,6750
537,2369,462,6127
538,3020,2991,4340
539,869,880,4385
540,436,439,445
541,74,1638,1647
542,5069,5048,6180
543,4575,1184,5612
544,2131,310,4204
545,6707,493,6934
546,103,1663,4686
547,5159,5168,6234
548,1419,1434,5798
549,1434,4226,5798
550,1366,2364,4023
551,3407,3406,5394
552,3229,3254,4397
553,779,2973,5192
554,410,437,2305
555,2263,410,2305
556,3967,3973,4594
557,1419,398,1434
558,1434,398,2276
559,6129,4958,6925
560,2322,457,2355
561,4878,2115,6096
562,3846,5651,6499
563,944,3367,5351
564,3571,1058,5493
565,1788,178,1792
566,1305,1300,5863
567,1366,416,4945
568,5115,617,7081
569,992,3409,5411
570,1144,5575,6084
571,4590,957,5952
572,957,5361,5952
573,4377,5855,5856
574,2975,787,2984
575,131,142,1743
576,142,131,1781
577,1179,6988,6989
578,6203,6204,7234
579,3549,3550,5473
580,285,4799,4839
581,4562,5598,6068
582,458,448,2395
583,3943,1218,5706
584,223,194,4153
585,194,3775,4153
586,3819,1166,4565
587,2514,546,5005
588,165,1881,1929
589,282,4828,6070
590,1421,1306,4053
591,1656,1657,4684
592,1667,128,1693
593,57,1587,4655
594,368,2160,2195
595,1612,1638,5996
596,344,365,1478
597,5827,768,6592
598,4478,3587,5490
599,188,4774,5781
600,2738,2765,4289
601,382,2176,2218
602,4280,5065,7050
603,4417,5350,5877
604,419,2305,2319
605,419,2319,2336
606,626,654,2718
607,6939,578,7024
608,3529,5441,7043
609,911,3214,4390
610,931,5883,6356
611,5883,931,6609
612,4378,5274,6765
613,2772,670,5101
614,2524,4990,5022
615,515,2482,2494
616,394,4914,6109
617,593,2614,2625
618,4469,3519,5455
619,240,248,4786
620,978,987,3398
621,2645,616,2653
622,315,2105,2145
623,535,563,2599
624,705,4066,5111
625,1074,3623,3642
626,193,1846,1862
627,207,1893,4768
628,698,2835,5132
629,698,5132,6741
630,1618,1617,7053
631,2209,350,2213
632,5474,5475,6417
633,2978,6238,6598
634,5374,959,5381
635,1237,4063,5752
636,1129,4529,5554
637,1054,1048,3592
638,3763,4554,5580
639,806,5245,6284
640,3902,3924,3925
641,874,5278,5288
642,3169,3164,4376
643,3170,3169,4376
644,663,2741,2778
645,150,203,1830
646,203,150,4748
647,2305,419,2306
648,1001,3434,5396
649,6045,1897,6657
650,2160,2154,4874
651,1057,6402,6808
652,1057,6808,6815
653,4817,2014,6059
654,2994,1403,3028
655,5495,5507,6431
656,3828,4574,6662
657,4574,6063,6662
658,307,324,5951
659,2140,2133,6078
660,1951,1968,4793
661,100,1698,4693
662,100,4693,6005
663,1674,1676,4682
664,2956,1392,5174
665,1470,1180,1475
666,2489,2521,2522
667,3088,3089,4363
668,2988,800,2989
669,446,2386,2409
670,2112,366,2113
671,2507,2533,6708
672,3953,3978,5710
673,1098,1080,4519
674,2083,334,2084
675,334,2083,2139
676,1572,4323,5983
677,4326,2920,4975
678,608,3196,3936
679,3046,819,5222
680,546,3951,5005
681,1425,664,2719
682,1056,1052,3545
683,1622,70,6001
684,3885,1202,6860
685,815,4362,5246
686,3212,899,5330
687,5964,1476,7736
688,192,1351,6048
689,68,1663,1671
690,4981,491,6141
691,388,2157,2240
692,5027,1313,6172
693,6172,1313,6712
694,6042,1168,6654
695,6654,1168,6907
696,3063,5221,5233
697,2620,2619,6190
698,3413,3447,5420
699,1732,154,6650
700,3595,4488,6431
701,246,1926,1961
702,130,164,4723
703,3451,3448,3454
704,3316,6970,7041
705,189,202,1907
706,3537,1049,5482
707,4666,42,5991
708,42,5989,5991
709,1761,152,1779
710,1761,1779,4147
711,508,2444,2504
712,6145,5375,6793
713,58,1597,4657
714,4123,58,4657
715,48,28,1590
716,3959,6108,6682
717,805,6288,6771
718,865,5262,5264
719,1621,4667,4674
720,1935,232,4785
721,1826,186,4171
722,186,1882,4171
723,2834,2886,2887
724,1472,3121,4104
725,308,2090,2107
726,1171,5638,6505
727,5302,6317,6500
728,738,2871,7087
729,688,5834,6244
730,2731,661,5092
731,658,2746,6219
732,265,335,2047
733,1860,4759,4760
734,5123,5090,6198
735,5090,5758,6198
736,4533,3667,5532
737,939,951,3325
738,3325,951,3332
739,3600,1488,4036
740,3861,3860,5643
741,1146,3769,5594
742,5223,5220,7035
743,4699,1736,5995
744,1268,494,4103
745,449,2293,2294
746,5884,1017,6369
747,6369,1017,6373
748,280,2077,2078
749,6058,1143,6062
750,119,1673,1692
751,2925,4339,5837
752,2721,679,2771
753,2848,708,2849
754,6531,6129,6689
755,1756,122,1765
756,414,1315,2284
757,2283,414,2284
758,3342,3018,5359
759,3902,3896,5677
760,4101,195,5771
761,223,1963,6046
762,972,1267,3388
763,3547,3565,6614
764,1418,115,1742
765,3893,5642,5674
766,3961,4019,5714
767,3867,3880,5666
768,6998,5964,7736
769,64,39,1595
770,613,2572,5017
771,2996,817,3005
772,1607,47,4668
773,1704,1703,4694
774,3780,1161,6490
775,3120,849,6779
776,2966,6744,6754
777,5337,4407,6343
778,1389,765,2529
779,2529,765,2923
780,3958,5953,6533
781,1086,4506,4515
782,749,740,2913
783,2358,463,6131
784,463,4965,6131
785,2903,72,4684
786,3226,3218,5305
787,4195,2067,4823
788,488,536,2437
789,456,1331,2371
790,2327,456,2371
791,1307,824,6771
792,3037,803,5218
793,2793,6224,6742
794,1823,1818,4737
795,1818,3723,4737
796,4948,413,6119
797,2068,2102,2103
798,4232,429,5800
799,5800,429,6111
800,74,85,1705
801,665,2766,2793
802,2911,728,5164
803,3846,3845,5627
804,3283,3285,6192
805,1374,3600,4894
806,4552,1150,5578
807,1195,4593,4595
808,2784,2729,5091
809,377,4216,5798
810,4226,377,5798
811,1766,1844,4751
812,351,393,2284
813,351,2284,4033
814,166,4083,4741
815,8,19,1525
816,19,8,1534
817,3547,3536,5471
818,702,699,6228
819,1976,2017,4819
820,2893,5157,5186
821,5255,863,5257
822,1079,3628,5514
823,5301,6314,6316
824,608,5763,6209
825,6456,1088,6617
826,3700,1142,5584
827,6200,2790,6734
